1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
time ;x;y;z;dxr;dyr;dzr;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;timeTe;xTe;
10,095;-3,90058;0,0225169;0,0998737;-0,036104;-0,00647058;-0,0153882;-0,0364194;-0,00529315;-0,0150921;-0,0364194;0,033433;-0,119266;;;
10,105;-3,90058;0,0225169;0,0998737;-0,036104;-0,00647058;-0,0153882;-0,0364194;-0,00529315;-0,0150921;-0,0364194;0,033433;-0,119266;;;
10,115;-3,90058;0,0225169;0,0998737;-0,036104;-0,00647058;-0,0153882;-0,0364194;-0,00529315;-0,0150921;-0,0364194;0,033433;-0,119266;;;
10,1249;-3,90058;0,0225169;0,0998737;-0,036104;-0,00647058;-0,0153882;-0,0364194;-0,00529315;-0,0150921;-0,0364194;0,033433;-0,119266;;;
10,1271;-3,90258;0,0345418;0,0998972;-0,0366757;0,032562;-0,000764202;-0,0358853;0,033433;0,000675779;-0,0358853;0,033433;0,000675779;;;
10,135;-3,90258;0,0345418;0,0998972;-0,0366757;0,032562;-0,000764202;-0,0358853;0,033433;0,000675779;-0,0358853;0,033433;0,000675779;;;
10,145;-3,90258;0,0345418;0,0998972;-0,0366757;0,032562;-0,000764202;-0,0358853;0,033433;0,000675779;-0,0358853;0,033433;0,000675779;;;
10,155;-3,90258;0,0345418;0,0998972;-0,0366757;0,032562;-0,000764202;-0,0358853;0,033433;0,000675779;-0,0358853;0,033433;0,000675779;;;
10,1616;-3,90258;0,0345418;0,0998737;-0,00180979;-0,0386943;-0,0682282;-0,00355158;-0,036567;-0,0693242;-0,00355158;-0,107145;-0,119266;;;
10,165;-3,90258;0,0345418;0,0998737;-0,00180979;-0,0386943;-0,0682282;-0,00355158;-0,036567;-0,0693242;-0,00355158;-0,107145;-0,119266;;;
10,175;-3,90258;0,0345418;0,0998737;-0,00180979;-0,0386943;-0,0682282;-0,00355158;-0,036567;-0,0693242;-0,00355158;-0,107145;-0,119266;;;
10,185;-3,90258;0,0345418;0,0998737;-0,00180979;-0,0386943;-0,0682282;-0,00355158;-0,036567;-0,0693242;-0,00355158;-0,107145;-0,119266;;;
10,1901;-3,90035;0,0284303;0,0998972;0,0688765;-0,104913;0,00464953;0,0664484;-0,106567;0,000675779;0,068033;-0,107145;0,000675779;;;
10,195;-3,90035;0,0284303;0,0998972;0,0688765;-0,104913;0,00464953;0,0664484;-0,106567;0,000675779;0,068033;-0,107145;0,000675779;;;
10,205;-3,90035;0,0284303;0,0998972;0,0688765;-0,104913;0,00464953;0,0664484;-0,106567;0,000675779;0,068033;-0,107145;0,000675779;;;
10,215;-3,90035;0,0284303;0,0998972;0,0688765;-0,104913;0,00464953;0,0664484;-0,106567;0,000675779;0,068033;-0,107145;0,000675779;;;
10,225;-3,90035;0,0284303;0,0998972;0,0688765;-0,104913;0,00464953;0,0664484;-0,106567;0,000675779;0,068033;-0,107145;0,000675779;;;
10,2252;-3,89978;0,0284303;0,102095;0,0694778;-0,0999426;0,0745891;0,068033;-0,103709;0,0706758;0,068033;-0,103709;0,245123;;;
10,235;-3,89978;0,0284303;0,102095;0,0694778;-0,0999426;0,0745891;0,068033;-0,103709;0,0706758;0,068033;-0,103709;0,245123;;;
10,2451;-3,89978;0,0284303;0,102095;0,0694778;-0,0999426;0,0745891;0,068033;-0,103709;0,0706758;0,068033;-0,103709;0,245123;;;
10,255;-3,89978;0,0284303;0,102095;0,0694778;-0,0999426;0,0745891;0,068033;-0,103709;0,0706758;0,068033;-0,103709;0,245123;;;
10,2587;-3,89978;0,0254727;0,10245;-0,000938167;-0,0994998;0,14369;-0,00164414;-0,103709;0,140676;-0,00164414;-0,103709;0,245123;;;
10,265;-3,89978;0,0254727;0,10245;-0,000938167;-0,0994998;0,14369;-0,00164414;-0,103709;0,140676;-0,00164414;-0,103709;0,245123;;;
10,275;-3,89978;0,0254727;0,10245;-0,000938167;-0,0994998;0,14369;-0,00164414;-0,103709;0,140676;-0,00164414;-0,103709;0,245123;;;
10,285;-3,89978;0,0254727;0,10245;-0,000938167;-0,0994998;0,14369;-0,00164414;-0,103709;0,140676;-0,00164414;-0,103709;0,245123;;;
10,2941;-3,89984;0,0246245;0,10245;-0,0226069;-0,0450906;0,0717627;-0,0228707;-0,0466475;0,0706758;-0,0228707;-0,0466475;-0,0156515;;;
10,295;-3,89984;0,0246245;0,10245;-0,0226069;-0,0450906;0,0717627;-0,0228707;-0,0466475;0,0706758;-0,0228707;-0,0466475;-0,0156515;;;
10,305;-3,89984;0,0246245;0,10245;-0,0226069;-0,0450906;0,0717627;-0,0228707;-0,0466475;0,0706758;-0,0228707;-0,0466475;-0,0156515;;;
10,315;-3,89984;0,0246245;0,10245;-0,0226069;-0,0450906;0,0717627;-0,0228707;-0,0466475;0,0706758;-0,0228707;-0,0466475;-0,0156515;;;
10,3198;-3,89984;0,0229728;0,101896;0,00118483;-0,116578;0,00423246;-0,00164414;-0,116647;0,000675779;-0,00164414;-0,183954;-0,332079;;;
