time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dxr	dyr	dzr	dxd	dyd	dzd	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
1.8656	0	0	0	0	0	0	0	0	0	0	0	0	-2.64944	-0.20773	0.259302	-0.0169216	-0.0417038	-0.0321597	0	0	0	-0.0954695	0.0246091	-0.0181663	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.87167	0	0	0	0	0	0	0	0	0	0	0	0	-2.64878	-0.20773	0.263168	0.0413438	0.0166409	0.19423	0	0	0	-0.0954695	0.0246091	-0.0181663	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.87561	0	0	0	0	0	0	0	0	0	0	0	0	-2.64878	-0.20773	0.263168	0.0413438	0.0166409	0.19423	0	0	0	-0.095644	0.0247837	-0.0181663	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.88558	0	0	0	0	0	0	0	0	0	0	0	0	-2.64878	-0.20773	0.263168	0.0413438	0.0166409	0.19423	0	0	0	-0.095644	0.0249582	-0.0181663	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.89564	0	0	0	0	0	0	0	0	0	0	0	0	-2.64878	-0.20773	0.263168	0.0413438	0.0166409	0.19423	0	0	0	-0.0959931	0.0253073	-0.0181663	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.90567	0	0	0	0	0	0	0	0	0	0	0	0	-2.64878	-0.20773	0.263168	0.0413438	0.0166409	0.19423	0	0	0	-0.0961676	0.0254818	-0.0181663	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.91147	0	0	0	0	0	0	0	0	0	0	0	0	-2.64857	-0.201112	0.263168	-0.00430896	0.199925	0.193938	0	0	0	-0.0961676	0.0254818	-0.0208779	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.91562	0	0	0	0	0	0	0	0	0	0	0	0	-2.64857	-0.201112	0.263168	-0.00430896	0.199925	0.193938	0	0	0	-0.0961676	0.0256563	-0.0208779	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.92558	0	0	0	0	0	0	0	0	0	0	0	0	-2.64857	-0.201112	0.263168	-0.00430896	0.199925	0.193938	0	0	0	-0.0961676	0.0256563	-0.0208779	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.93558	0	0	0	0	0	0	0	0	0	0	0	0	-2.64857	-0.201112	0.263168	-0.00430896	0.199925	0.193938	0	0	0	-0.0961676	0.0258309	-0.0208779	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.93939	0	0	0	0	0	0	0	0	0	0	0	0	-2.64757	-0.197903	0.261967	0.053288	0.190558	-0.25728	0	0	0	-0.0961676	0.0258309	-0.022333	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.9456	0	0	0	0	0	0	0	0	0	0	0	0	-2.64757	-0.197903	0.261967	0.053288	0.190558	-0.25728	0	0	0	-0.0961676	0.0258309	-0.022333	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.95559	0	0	0	0	0	0	0	0	0	0	0	0	-2.64757	-0.197903	0.261967	0.053288	0.190558	-0.25728	0	0	0	-0.0961676	0.0260054	-0.022333	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.96563	0	0	0	0	0	0	0	0	0	0	0	0	-2.64757	-0.197903	0.261967	0.053288	0.190558	-0.25728	0	0	0	-0.0959931	0.0258309	-0.022333	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.97123	0	0	0	0	0	0	0	0	0	0	0	0	-2.6468	-0.197903	0.254222	-0.0390612	-0.104047	-0.24076	0	0	0	-0.0959931	0.0258309	-0.022333	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.97562	0	0	0	0	0	0	0	0	0	0	0	0	-2.6468	-0.197903	0.254222	-0.0390612	-0.104047	-0.24076	0	0	0	-0.0959931	0.0258309	-0.022333	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.98571	0	0	0	0	0	0	0	0	0	0	0	0	-2.6468	-0.197903	0.254222	-0.0390612	-0.104047	-0.24076	0	0	0	-0.0959931	0.0256563	-0.022333	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.99566	0	0	0	0	0	0	0	0	0	0	0	0	-2.6468	-0.197903	0.254222	-0.0390612	-0.104047	-0.24076	0	0	0	-0.0961676	0.0254818	-0.022333	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
2.00563	0	0	0	0	0	0	0	0	0	0	0	0	-2.6468	-0.197903	0.254222	-0.0390612	-0.104047	-0.24076	0	0	0	-0.0961676	0.0254818	-0.022333	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
2.00954	0	0	0	0	0	0	0	0	0	0	0	0	-2.64652	-0.201007	0.254222	-0.000175148	-0.0997314	-0.0962058	0	0	0	-0.0961676	0.0254818	-0.0211172	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
2.01562	0	0	0	0	0	0	0	0	0	0	0	0	-2.64652	-0.201007	0.254222	-0.000175148	-0.0997314	-0.0962058	0	0	0	-0.0963422	0.0253073	-0.0211172	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
2.02564	0	0	0	0	0	0	0	0	0	0	0	0	-2.64652	-0.201007	0.254222	-0.000175148	-0.0997314	-0.0962058	0	0	0	-0.0965167	0.0253073	-0.0211172	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
2.0356	0	0	0	0	0	0	0	0	0	0	0	0	-2.64652	-0.201007	0.254222	-0.000175148	-0.0997314	-0.0962058	0	0	0	-0.0965167	0.0253073	-0.0211172	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
2.03606	0	0	0	0	0	0	0	0	0	0	0	0	-2.64659	-0.201007	0.251091	-0.0114044	-0.0297633	-0.0969096	0	0	0	-0.0965167	0.0253073	-0.0211172	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
2.04558	0	0	0	0	0	0	0	0	0	0	0	0	-2.64659	-0.201007	0.251091	-0.0114044	-0.0297633	-0.0969096	0	0	0	-0.0965167	0.0251327	-0.0211172	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
