time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dx	dy	dz	dxd	dyd	dzd	dxNED	dyNED	dzNED	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	gravity
1.9135	0	0	0	0	0	0	0	0	0	0	0	0	-3.40859	0.0189325	0.0250217	-0.00610226	0.122833	0.123652	0	0	0	-0.00483101	0.121845	0.124682	-0.0534071	0.0125664	-0.0653385	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.91387	0	0	0	0	0	0	0	0	0	0	0	0	-3.40859	0.0189325	0.0250217	-0.00610226	0.122833	0.123652	0	0	0	-0.00483101	0.121845	0.124682	-0.0534071	0.0123918	-0.0653385	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.92383	0	0	0	0	0	0	0	0	0	0	0	0	-3.40859	0.0189325	0.0250217	-0.00610226	0.122833	0.123652	0	0	0	-0.00483101	0.121845	0.124682	-0.0534071	0.0122173	-0.0653385	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.93386	0	0	0	0	0	0	0	0	0	0	0	0	-3.40859	0.0189325	0.0250217	-0.00610226	0.122833	0.123652	0	0	0	-0.00483101	0.121845	0.124682	-0.0534071	0.0120428	-0.0653385	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.94381	0	0	0	0	0	0	0	0	0	0	0	0	-3.40859	0.0189325	0.0250217	-0.00610226	0.122833	0.123652	0	0	0	-0.00483101	0.121845	0.124682	-0.0532325	0.0120428	-0.0653385	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.94734	0	0	0	0	0	0	0	0	0	0	0	0	-3.40859	0.0189325	0.0172119	-0.0216472	0.108495	-0.30297	0	0	0	0.0017664	0.11226	-0.302366	-0.0532325	0.0120428	-0.0653385	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.95384	0	0	0	0	0	0	0	0	0	0	0	0	-3.40859	0.0189325	0.0172119	-0.0216472	0.108495	-0.30297	0	0	0	0.0017664	0.11226	-0.302366	-0.0532325	0.0120428	-0.0653385	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.96383	0	0	0	0	0	0	0	0	0	0	0	0	-3.40859	0.0189325	0.0172119	-0.0216472	0.108495	-0.30297	0	0	0	0.0017664	0.11226	-0.302366	-0.053058	0.0122173	-0.0653385	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.9738	0	0	0	0	0	0	0	0	0	0	0	0	-3.40859	0.0189325	0.0172119	-0.0216472	0.108495	-0.30297	0	0	0	0.0017664	0.11226	-0.302366	-0.0528835	0.0122173	-0.0653385	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.9789	0	0	0	0	0	0	0	0	0	0	0	0	-3.40859	0.0212512	0.0134194	0.00129866	0.113729	0.130095	0	0	0	0.0017664	0.11226	0.13136	-0.0528835	0.0122173	-0.0661029	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
